version	platform	url	sha256	binary_sha256
0.11.0	linux.x86_64	https://github.com/koalaman/shellcheck/releases/download/v0.11.0/shellcheck-v0.11.0.linux.x86_64.tar.gz	b7af85e41cc99489dcc21d66c6d5f3685138f06d34651e6d34b42ec6d54fe6f6	4da528ddb3a4d1b7b24a59d4e16eb2f5fd960f4bd9a3708a15baddbdf1d5a55b
0.11.0	linux.aarch64	https://github.com/koalaman/shellcheck/releases/download/v0.11.0/shellcheck-v0.11.0.linux.aarch64.tar.gz	68a8133197a50beb8803f8d42f9908d1af1c5540d4bb05fdfca8c1fa47decefc	127f13925eadd52c341bca0ebaf9ab0dbd78c6468f30a8f262a528bf8de47546
0.11.0	darwin.x86_64	https://github.com/koalaman/shellcheck/releases/download/v0.11.0/shellcheck-v0.11.0.darwin.x86_64.tar.gz	c2c15e08df0e8fbc374c335b230a7ee958c313fa5714817a59aa59f1aa594f51	2589be755bb115f4421b8271eb7c08df1e03729f00350c1e4cf53b4a0bf9c2df
0.11.0	darwin.aarch64	https://github.com/koalaman/shellcheck/releases/download/v0.11.0/shellcheck-v0.11.0.darwin.aarch64.tar.gz	339b930feb1ea764467013cc1f72d09cd6b869ebf1013296ba9055ab2ffbd26f	61c17246d69f012cd458ae82f244c46023dac75d1b69733ca1cc7d28fb270fd7
