path	codes	reason
tests/shell/test-portable.sh	SC1010,SC1091,SC2016,SC2034,SC2154	pre-existing-shellcheck-debt
tests/shell/test-pr-gate-profile.sh	SC1091,SC2016,SC2034	pre-existing-shellcheck-debt
tests/shell/test-pr-gate.sh	SC1091,SC2002,SC2015,SC2016,SC2154	pre-existing-shellcheck-debt
tests/shell/test-reasoning-effort.sh	SC1091	pre-existing-shellcheck-debt
tests/shell/test-runner-kind.sh	SC1091,SC2015	pre-existing-shellcheck-debt
tests/shell/test-schema-task-mirrors-backlog.sh	SC1091	pre-existing-shellcheck-debt
tests/shell/test-script-domain-inventory.sh	SC2094	pre-existing-shellcheck-debt
tests/shell/test-setup-project.sh	SC1091,SC2154	pre-existing-shellcheck-debt
tests/shell/test-skill-refine.sh	SC1091,SC2154	pre-existing-shellcheck-debt
tests/shell/test-state-layout-parity.sh	SC1091,SC2016,SC2154	pre-existing-shellcheck-debt
tests/shell/test-state-store-rotation.sh	SC1091,SC2154	pre-existing-shellcheck-debt
tests/shell/test-state-store.sh	SC1091,SC2016,SC2032,SC2033,SC2034,SC2038,SC2317,SC2329	pre-existing-shellcheck-debt
tests/shell/test-test-harness.sh	SC1091	pre-existing-shellcheck-debt
tests/shell/test-timeout-resolve.sh	SC1091	pre-existing-shellcheck-debt
tests/shell/test-uninstall.sh	SC1091,SC2154	pre-existing-shellcheck-debt
tests/shell/test-usage-tracker.sh	SC1091,SC2015,SC2154	pre-existing-shellcheck-debt
tests/shell/test-usage-weekly.sh	SC1091,SC2015,SC2086,SC2154	pre-existing-shellcheck-debt
tools/lint/lint-model-aliases.sh	SC2317	pre-existing-shellcheck-debt
tools/lint/lint-portable-repo-paths.sh	SC2016	pre-existing-shellcheck-debt
